,Acceptance,Asking price,Asking price per m²,Bathroom facilities,Building type,Energy label,Exterior space attached to the building,Facilities,Garden,Heating,Hot water,Insulation,Kind of house,Listed since,Living area,Location,Number of bath rooms,Number of rooms,Number of stories,Plot size,Specific,Status,Type of parking facilities,Type of roof,Volume in cubic meters,Year of construction,url,Annual meeting,Balcony/roof garden,Building insurance,CH boiler,External storage space,Located at,Maintenance plan,Periodic contribution,Provisional energy label,Registration with KvK,Reserve fund present,Shed / storage,Type apartment,VVE (Owners Association) contribution,Quality marks,Service charges,Type of garage,Other space inside the building,Garden location,Back garden
1166,Available in consultation,1200000,8955,Bath and toilet,Resale,A+  ,,,Back garden,CH boiler and complete floor heating,CH boiler,Double glazing,,"March 2, 2022",134,Alongside a quiet road and in residential district,2 bathrooms and 2 separate toilets,"4  ,3 ",2,,,Available,,,490,1902,https://www.funda.nl/en/koop/amsterdam/appartement-42626418-madurastraat-24-hs,No,,Yes,"Gas-fired combination boiler, in ownership",,Grou ,No,Yes,,No,No,,Ground-floor apartment (apartment),,, 228  ,,,Located at the southwest,"48 m² (9,5 meter deep and 5 meter broad)"
1167,Available in consultation,550000,8209,Bath,Resale,A  ,,Electricity,,CH boiler,CH boiler,Double glazing,,5 ,67,In center,1 bathroom and 1 separate toilet,"3  ,2 ",1,,,Available,Paid parking and resident's parking permits,,197,,https://www.funda.nl/en/koop/amsterdam/appartement-88057532-leidsekruisstraat-38,Yes,,Yes,"Gas-fired, in ownership",3,1 ,Yes,Yes (€ 148.00 per month),,Yes,Yes,Built-in,Upstairs apartment (apartment), 148.00  ,,,,,,
1168,Available in consultation,425000,5000,Shower,Resale,A  ,,Elevator,,District heating,District heating,,,"March 5, 2022",85,Alongside a quiet road and in residential district,1 bathroom and 1 separate toilet,"3  ,2 ",1,,,Under offer,,,278,2008,https://www.funda.nl/en/koop/amsterdam/appartement-42629344-lumierestraat-111,Yes,,Yes,,4,,Yes,Yes (€ 182.13 per month),,Yes,Yes,Built-in,Apartment with shared street entrance, 182.13  ,, 182  ,,,,
1169,Available in consultation,375000,5515,,Resale,A  ,,"Outdoor awning, elevator and TV via cable",,CH boiler,CH boiler,Completely insulated,,4 ,68,"Alongside park, alongside a quiet road and in residential district",1 bathroom and 1 separate toilet,"3  ,2 ",1,,,Sold under reservation,,Flat roof covered with asphalt roofing,225,2007,https://www.funda.nl/en/koop/amsterdam/appartement-42605548-jan-van-zutphenstraat-581,Yes,,Yes,"Vaillant (gas-fired combination boiler from 2007, in ownership)",3,6 ,Yes,Yes,,Yes,Yes,Storage box,Mezzanine (apartment),,, 147  ,Underground parking and parking place,,,
1170,Available in consultation,930000,7623,Bath and toilet,Resale,A  ,6,Mechanical ventilation and TV via cable,Back garden,CH boiler and partial floor heating,CH boiler,"Double glazing, insulated walls and floor insulation",,6 ,122,Alongside a quiet road and unobstructed surrounding view,1 bathroom and 1 separate toilet,"4  ,3 ",2,,,Under offer,"Paid parking, public parking and resident's parking permits",Flat roof covered with asphalt roofing,377,1899,https://www.funda.nl/en/koop/amsterdam/appartement-88046857-cornelis-anthoniszstraat-1-hs,No,Balcony present,No,"Nefit (gas-fired combination boiler, in ownership)",,Grou ,No,No,,No,No,,Ground-floor apartment (apartment),,, 150  ,,,,
1171,Available in consultation,300000,5263,Shower,Resale,A  ,12,"Elevator, mechanical ventilation, sliding door and TV via cable",,District heating,District heating,Completely insulated,,6+ ,57,In residential district,1 bathroom and 1 separate toilet,"2  ,1 ",1,,,Under offer,Paid parking,,188,2005,https://www.funda.nl/en/koop/amsterdam/appartement-41246658-ijburglaan-1371,Yes,Roof terrace present,Yes,,,2 ,Yes,Yes (€ 142.00 per month),,Yes,Yes,,Upstairs apartment, 142.00  ,,,,,,
1172,Available in consultation,500000,5882,Bath and shower,Resale,A  ,,,,,CH boiler,Double glazing and completely insulated,,4 ,85,Alongside a quiet road and in center,1 bathroom and 1 separate toilet,"3  ,2 ",1,,,Sold under reservation,Public parking,Hipped roof,310,,https://www.funda.nl/en/koop/amsterdam/appartement-42501247-jacob-burggraafstraat-112,Yes,,Yes,,,Grou ,Yes,Yes (€ 188.00 per month),,Yes,Yes,Built-in,Ground-floor apartment (apartment), 188.00  ,,,,,,
1173,Available in consultation,550000,5851,,Resale,A  ,,Electricity,,CH boiler,CH boiler,"Roof insulation, double glazing, insulated walls and floor insulation",,2 ,94,"On the edge of a forest, alongside a quiet road, sheltered location and unobstructed surrounding view",1 bathroom and 1 separate toilet,"4  ,3 ",1,,,Available,"Paid parking, public parking and resident's parking permits",Flat roof covered with asphalt roofing,270,1989,https://www.funda.nl/en/koop/amsterdam/appartement-42611673-tugelaweg-136-c,Yes,,Yes,"Intergas Kompakt HR (gas-fired combination boiler from 2009, in ownership)",4,3 ,Yes,Yes (€ 138.00 per month),,Yes,Yes,Storage box,Apartment with shared street entrance (apartment), 138.00  ,,,,,,
1174,Available in consultation,295000,3512,Shower,Resale,G  ,5,Electricity and running water,,Communal central heating,Electrical boiler,Roof insulation and double glazing,,2 ,84,"Alongside park, in residential district and unobstructed surrounding view",1 bathroom and 1 separate toilet,"4  ,3 ",11,,,Under offer,Public parking,Flat roof covered with asphalt roofing,277,1967,https://www.funda.nl/en/koop/amsterdam/appartement-42618846-jisperveldstraat-287,Yes,Balcony present,Yes,,22,11 ,Yes,Yes (€ 225.00 per month),,Yes,Yes,Storage box,Galleried apartment (apartment), 225.00  ,,,Garage,,,
1175,Available in consultation,600000,8219,Toilet,Resale,A  ,,,Back garden,CH boiler,CH boiler,,,5 ,73,,1 bathroom and 1 separate toilet,"3  ,2 ",2,,,Under offer,,,257,,https://www.funda.nl/en/koop/amsterdam/appartement-42699648-jozef-israelskade-18-a,Yes,,Yes,,4,Grou ,Yes,Yes (€ 198.35 per month),,Yes,Yes,Detached brick storage,Ground-floor apartment, 198.35  ,,,,,,"47 m² (7,83 meter deep and 6 meter broad)"
1176,Available immediately,400000,5063,Shower,Resale,E 2.26  ,,Electricity,Back garden,CH boiler,CH boiler,Double glazing,"Single-family home, row house",4 ,79,"Alongside busy road, in residential district and freestanding location",1 bathroom and 1 separate toilet,"4  ,3 ",2,93,,Under offer,Public parking,Gable roof covered with roof tiles,202,1954,https://www.funda.nl/en/koop/amsterdam/huis-42605716-antony-moddermanstraat-65,,,,"Intergas (gas-fired combination boiler from 2008, in ownership)",,,,,,,,Built-in,,,Energie Prestatie Advies,,,19 ,Located at the south,"32 m² (6,91 meter deep and 4,66 meter broad)"
1177,Available in consultation,3685000,13598,"2 jacuzzis, steam cabin, 2 baths, 2 showers and 2 toilets",Resale,,,Electricity,,District heating,Central facility,Double glazing and completely insulated,,6+ ,271,Unobstructed surrounding view,2 bathrooms and 1 separate toilet,"4  ,3 ",1,,Furnished and with carpets and curtains,Available,Parking garage,,815,2008,https://www.funda.nl/en/koop/amsterdam/appartement-41330089-gustav-mahlerlaan-270,Yes,,Yes,,9,21 ,Yes,"Yes (€ 1,000.00 per month)",A ,Yes,Yes,Storage box,Penthouse (apartment)," 1,000.00  ",,,Underground parking and parking place,,,
1178,Available in consultation,575000,4563,Bath,Resale,A  ,52,Mechanical ventilation and sliding door,Back garden and sun terrace,CH boiler,CH boiler,"Roof insulation, energy efficient window and insulated walls","Single-family home, row house",3 ,126,,1 bathroom and 2 separate toilets,"5  ,4 ",3,,,Available,Parking garage,Flat roof covered with asphalt roofing,434,2008,https://www.funda.nl/en/koop/amsterdam/huis-42615567-johan-hofmanstraat-178,,French balcony present,,"Combination boiler from 2009, in ownership",2,,,,,,,Built-in,,,,,Underground parking,,,
1179,Available in consultation,1820000,9192,Bath,New,,73,"Elevator, mechanical ventilation and solar panels",Sun terrace,Complete floor heating,Central facility,"Double glazing, energy efficient window and completely insulated",,6+ ,198,"Alongside park, alongside a quiet road and in residential district",2 bathrooms and 2 separate toilets,"4  ,3 ",2,,,Available,Parking garage,Flat roof,514,2019,https://www.funda.nl/en/koop/amsterdam/appartement-41363623-aan-het-ij-the-cube-bouwnr-159,Yes,Roof terrace present and balcony present,Yes,,,7 ,Yes,Yes,A ,No,Yes,Storage box,Upstairs apartment (double upstairs apartment),,SWK garantiecertificaat,,Underground parking,,,
1180,Available in consultation,695000,7394,"Bath, shower and toilet",Resale,D  ,24,Mechanical ventilation and TV via cable,Sun terrace,CH boiler,CH boiler,Mostly double glazed,,5 ,94,,1 bathroom and 1 separate toilet,"3  ,2 ",2,,,Sold under reservation,Paid parking and resident's parking permits,Combination roof covered with asphalt roofing and roof tiles,292,1930,https://www.funda.nl/en/koop/amsterdam/appartement-42565838-achillesstraat-107-3,Yes,Balcony present,Yes,"Intergas (gas-fired from 2004, in ownership)",,4 ,Yes,Yes,,Yes,Yes,,Upstairs apartment (apartment),,, 195  ,,,Located at the east,
1181,Available in consultation,1995000,8418,"2 baths, 3 showers and toilet",Resale,D  ,65,"Optical fibre, mechanical ventilation, passive ventilation system, flue and TV via cable",,CH boiler,CH boiler,,,5 ,237,"Alongside a quiet road, sheltered location, in center and in residential district",3 bathrooms and 3 separate toilets,"6  ,4 ",3,,Protected townscape or village view (permit needed for alterations) and double occupancy possible,Sold under reservation,"Paid parking, public parking and resident's parking permits",Flat roof covered with asphalt roofing,699,1906,https://www.funda.nl/en/koop/amsterdam/appartement-42692569-frans-van-mierisstraat-95-ii,Yes,"Roof terrace present, balcony present and french balcony present",Yes,"Nefit (gas-fired combination boiler from 2010, in ownership)",,3 ,No,No,,Yes,No,,Upstairs apartment (apartment),,,,,,,
1183,Available in consultation,400000,6250,Bath and toilet,Resale,D  ,,Passive ventilation system,Back garden and front garden,CH boiler,CH boiler,,"Single-family home, row house",2 ,64,In residential district and unobstructed surrounding view,1 bathroom and 1 separate toilet,"3  ,2 ",2,92,Protected townscape or village view (permit needed for alterations),Under offer,Public parking,Gable roof covered with roof tiles,218,1921,https://www.funda.nl/en/koop/amsterdam/huis-42618405-kometensingel-13,,,,"Intergas (gas-fired combination boiler from 2016, in ownership)",5,,,,,,,Detached brick storage,,,,,,,Located at the northwest accessible via the rear,"38 m² (8 meter deep and 4,75 meter broad)"
1184,Available immediately,300000,5556,Shower,Resale,,8,,Back garden,Gas heaters,Gas water heater,,,3 ,54,In residential district,1 bathroom and 1 separate toilet,"2  ,1 ",1,,,Sold under reservation,,,210,1957,https://www.funda.nl/en/koop/amsterdam/appartement-42529724-esther-de-boer-van-rijkstraat-70,Yes,,Yes,,,Grou ,Yes,Yes,,Yes,Yes,,Ground-floor apartment (apartment),,,,,,,
1185,Available in consultation,450000,9375,Shower and toilet,Resale,E  ,4,Mechanical ventilation and TV via cable,,CH boiler,CH boiler,Partly double glazed,,3 ,48,Alongside a quiet road,1 bathroom,"2  ,1 ",1,,,Sold under reservation,Resident's parking permits,,165,1906,https://www.funda.nl/en/koop/amsterdam/appartement-42616234-wilhelminastraat-176-2,Yes,Balcony present,Yes,"Remeha Tzerra (gas-fired from 2018, in ownership)",6,2 ,Yes,No,,Yes,No,,Upstairs apartment (apartment),,, 95  ,,,,
1186,Available in consultation,2450000,10746,Sauna,Resale,A 1.35  ,68,Electricity,Sun terrace,,,"Roof insulation, double glazing and insulated walls",,4 ,228,Unobstructed surrounding view,,"4  ,3 ",1,,,Available,,Flat roof covered with asphalt roofing,684,2008,https://www.funda.nl/en/koop/amsterdam/appartement-42504895-gustav-mahlerlaan-280,Yes,,Yes,,5,22 ,Yes,Yes (€ 831.00 per month),,Yes,Yes,Built-in,Penthouse (apartment), 831.00  ,,,"Built-in, underground parking and parking place",,,
1187,Available in consultation,825000,4583,Shower and toilet,Resale,,4,TV via cable,Front garden,CH boiler,CH boiler,Double glazing,"Houseboat, detached residential property",3 ,180,"Alongside a quiet road, on navigable waterway, alongside water, In wooded surroundings and freestanding location",1 bathroom,"5  ,4 ",2,,,Available,Paid parking and resident's parking permits,,665,1974,https://www.funda.nl/en/koop/amsterdam/huis-42539408-jaagpad-39,,Balcony present,,,,,,,,,,,,,,,,3 ,Located at the west,
1188,Available in consultation,2650000,10076,"Jacuzzi, 2 showers and toilet",Resale,C 1.34  ,,"Air conditioning, jacuzzi, mechanical ventilation and TV via cable",,Complete floor heating and heat recovery unit,Central facility,Completely insulated,,3 ,263,"Alongside a quiet road, in residential district and unobstructed surrounding view",2 bathrooms and 1 separate toilet,"4  ,2 ",1,,,Available,Parking garage,Flat roof,765,2009,https://www.funda.nl/en/koop/amsterdam/appartement-42615978-gustav-mahlerplein-213,No,,No,,32,13 ,No,No,,No,No,Storage box,Penthouse (apartment),,,,Underground parking,,,
1189,Available in consultation,379000,9718,Shower,Resale,D  ,3,TV via cable,,CH boiler,CH boiler,Double glazing and floor insulation,,"March 9, 2022",39,In residential district,1 bathroom and 1 separate toilet,"2  ,1 ",1,,Protected townscape or village view (permit needed for alterations),Available,Public parking,,97,1891,https://www.funda.nl/en/koop/amsterdam/appartement-42635465-goudsbloemstraat-68-i,Yes,Balcony present,Yes,"Intergas (gas-fired combination boiler from 2005, in ownership)",,1 ,Yes,Yes (€ 80.00 per month),,Yes,Yes,,Upstairs apartment (apartment), 80.00  ,, 80  ,,,,
1190,Available in consultation,1295000,8145,Bath,Resale,F  ,51,Mechanical ventilation,,CH boiler,CH boiler,Partly double glazed,,4 ,159,Sheltered location,1 bathroom and 1 separate toilet,"7  ,5 ",3,,Protected townscape or village view (permit needed for alterations),Available,Public parking and resident's parking permits,,566,1929,https://www.funda.nl/en/koop/amsterdam/appartement-42694112-churchill-laan-308-3,Yes,"Roof terrace present, balcony present and french balcony present",Yes,"Intergas ( combination boiler, in ownership)",,3 ,Yes,Yes (€ 220.00 per month),,Yes,Yes,,Upstairs apartment, 220.00  ,,,,,,
1191,Available in consultation,525000,4646,Bath and toilet,Resale,B  ,,Electricity,Back garden,CH boiler,CH boiler,Double glazing,"Single-family home, corner house",4 ,113,"Alongside a quiet road, sheltered location and in residential district",1 bathroom and 1 separate toilet,"6  ,5 ",3,145,,Sold under reservation,Public parking,Flat roof,371,1988,https://www.funda.nl/en/koop/amsterdam/huis-42600478-romerostraat-16,,,,Gas-fired from 2005,5,,,,,,,Detached brick storage,,,,,,,Located at the west accessible via the rear,"59 m² (13,2 meter deep and 4,5 meter broad)"
1192,Available in consultation,1600000,7477,2 baths and 2 toilets,Resale,,,TV via cable,Back garden,,,Roof insulation,"Desirable residence/villa, row house",3 ,214,"Alongside a quiet road, alongside water, in residential district and unobstructed surrounding view",2 bathrooms and 1 separate toilet,"6  ,3 ",4,121,,Sold under reservation,Paid parking and public parking,,696,1906,https://www.funda.nl/en/koop/amsterdam/huis-42539582-transvaalkade-50,,,,,,,,,,,,,,,,,,,Located at the northwest,"63 m² (11,41 meter deep and 5,51 meter broad)"
1193,Available in consultation,350000,4487,Bath,Resale,A  ,5,"Elevator, mechanical ventilation and TV via cable",,CH boiler,CH boiler,No insulation,,5 ,78,"Alongside a quiet road, in residential district and freestanding location",1 bathroom and 1 separate toilet,"3  ,2 ",1,,,Sold under reservation,Parking garage,Flat roof covered with asphalt roofing,250,2007,https://www.funda.nl/en/koop/amsterdam/appartement-42698931-professor-jh-gunningstraat-105,Yes,Balcony present,Yes,"Tzerra ACE 39c (CW5), Remeha (gas-fired combination boiler from 2021, in ownership)",17,3 ,Yes,Yes,,Yes,Yes,Storage box,Apartment with shared street entrance (apartment),,, 155  ,Built-in and parking place,,,
1194,Available in consultation,900000,7377,Bath and toilet,Resale,A  ,22,Elevator,Sun terrace,Heat recovery unit,CH boiler,Roof insulation and double glazing,,"March 11, 2022",122,Alongside water and unobstructed surrounding view,1 bathroom and 1 separate toilet,"4  ,3 ",2,,,Available,Parking garage,,409,2002,https://www.funda.nl/en/koop/amsterdam/appartement-42636373-cruquiuskade-259,Yes,,Yes,,7,,Yes,Yes (€ 299.89 per month),,Yes,Yes,Storage box,Maisonnette (apartment), 299.89  ,,,Parking place,,,
1195,Available in consultation,1400000,8861,Bath,Resale,A  ,22,"Electrical door, loft and electricity",Sun terrace,District heating and complete floor heating,Central facility,Double glazing,,2 ,158,"Alongside a quiet road, alongside water and sheltered location",1 bathroom and 2 separate toilets,"5  ,4 ",2,,,Under offer,Paid parking and parking garage,,617,2014,https://www.funda.nl/en/koop/amsterdam/appartement-42619601-rosy-wertheimstraat-64,Yes,,Yes,,23,Grou ,Yes,No,,Yes,Yes,,Ground-floor + upstairs apartment (apartment), 281.34  ,,,Garage and parking place,,,
