,Annual meeting,Asking price,Asking price per m²,Balcony/roof garden,Bathroom facilities,Building insurance,Building type,CH boiler,Energy label,Exterior space attached to the building,Facilities,Heating,Hot water,Insulation,Listed since,Living area,Located at,Location,Maintenance plan,Number of bath rooms,Number of rooms,Number of stories,Periodic contribution,Registration with KvK,Reserve fund present,Specific,Status,Type apartment,Type of parking facilities,Volume in cubic meters,Year of construction,Back garden,Garden,Garden location,Kind of house,Other space inside the building,Type of garage,External storage space,Provisional energy label,Shed / storage,VVE (Owners Association) contribution,Type of roof,Plot size
742,Yes,249500,3119,,Shower,Yes,Resale property,"Intergas (gas-fired combination boiler from 2011, in ownership)",,,,CH boiler,CH boiler,Double glazing,5 ,80,Grou ,In residential district,Yes,1 bathroom,3 rooms (2 bedrooms),3,Yes (€ 90.00 per month),Yes,Yes,Partly furnished with carpets and curtains,Sold under reservation,Ground-floor apartment (apartment),Public parking,240,,54 m² (9 meter deep and 6 meter broad),Back garden,Located at the southeast accessible via the rear,,18 ,,,G ,Detached brick storage, 90.00  ,Flat roof,
743,Yes,239500,4435,Balcony present,Toilet,Yes,Resale property,"Vaillant (gas-fired combination boiler, in ownership)",C  ,8,TV via cable,CH boiler,CH boiler,Double glazing,5 ,54,3 ,Alongside busy road and in residential district,Yes,1 bathroom,2 rooms (1 bedroom),1,Yes (€ 142.07 per month),Yes,Yes,,Under offer,Apartment with shared street entrance (apartment),Paid parking and resident's parking permits,174,1977,,,,,,,3,,Storage box, 142.07  ,Flat roof,
744,Yes,325000,4276,Balcony present,,Yes,Resale property,,F 2.59  ,10,Electricity,Communal central heating,Electrical boiler,No insulation,2 ,76,4 ,"On the edge of a forest, in residential district and unobstructed surrounding view",Yes,1 bathroom and 1 separate toilet,3 rooms (1 bedroom),1,Yes (€ 281.19 per month),Yes,Yes,Listed building (national monument),Sold under reservation,Apartment with shared street entrance (apartment),Public parking,226,1960,,,,,,Not yet present but possible,6,,Storage box, 281.19  ,Flat roof,
745,Yes,300000,3261,,Shower,Yes,Resale property,,A  ,,Electricity,District heating,District heating,"Roof insulation, double glazing, eco-building, partly double glazed, no cavity wall, insulated walls, floor insulation, completely insulated and secondary glazing",2 ,92,3 ,In center and in residential district,Yes,1 bathroom and 1 separate toilet,4 rooms (3 bedrooms),1,Yes (€ 203.64 per month),Yes,Yes,With carpets and curtains,Under offer,Apartment with shared street entrance (apartment),"Paid parking, public parking and parking garage",298,2005,,,,,,Underground parking and parking place,15,,Storage box, 203.64  ,Flat roof covered with asphalt roofing,
746,Yes,225000,4167,Balcony present,,Yes,Resale property,,F  ,4,Passive ventilation system and TV via cable,Communal central heating,Electrical boiler (rental),,5 ,54,2 ,Alongside a quiet road and in residential district,Yes,1 separate toilet,2 rooms (1 bedroom),7,Yes (€ 132.00 per month),Yes,Yes,,Sold under reservation,Upstairs apartment,Public parking,180,1968,,,,,,,4,,Storage box, 132.00  ,Flat roof covered with asphalt roofing,
747,,1350000,4927,Balcony present,"Jacuzzi, bath and shower",,Resale property,"Nefit topline (gas-fired combination boiler from 2008, in ownership)",G  ,20,"Electrical door, electricity, heating and running water",CH boiler,CH boiler and gas water heater,,5 ,274,,In residential district and unobstructed surrounding view,,2 bathrooms and 3 separate toilets,7 rooms (5 bedrooms),3,,,,Protected townscape or village view (permit needed for alterations),Sold under reservation,,"Paid parking, parking on private property, public parking and resident's parking permits",906,1933,"46 m² (7,09 meter deep and 6,46 meter broad)","Back garden, front garden and side garden",Located at the southwest accessible via the rear,"Desirable residence/villa, corner house",,Detached brick garage,16,,,,Gable roof covered with roof tiles,327
748,Yes,199500,3694,Balcony present,Shower,Yes,Resale property,,E  ,3,,Communal central heating,Gas water heater (rental),,2 ,54,1 ,"Alongside park, alongside a quiet road and in residential district",Yes,1 bathroom and 1 separate toilet,2 rooms (1 bedroom),1,Yes (€ 159.49 per month),Yes,Yes,,Sold under reservation,Galleried apartment,"Paid parking, parking on private property, public parking and resident's parking permits",174,1970,,,,,,,7,,Storage box, 159.49  ,Flat roof covered with asphalt roofing,
749,,390000,2786,,Bath and toilet,,Resale property,In ownership,,,Electricity,CH boiler,,Double glazing,4 ,140,,,,1 bathroom and 1 separate toilet,6 rooms (5 bedrooms),2,,,,,Available,,Public parking,390,1925,"43 m² (5,33 meter deep and 8,02 meter broad)",Back garden,,"Single-family home, row house",4 ,,6,G ,Attached wooden storage,,,140
750,Yes,400000,3774,Roof terrace present and balcony present,Bath and shower,Yes,Resale property,"Remeha (gas-fired combination boiler from 2021, in ownership)",E  ,10,TV via cable,CH boiler,CH boiler,Double glazing,6 ,106,3 ,"Alongside a quiet road, sheltered location, in residential district and unobstructed surrounding view",No,1 bathroom and 1 separate toilet,4 rooms (3 bedrooms),1,Yes (€ 36.00 per month),Yes,Yes,Partly furnished with carpets and curtains,Sold under reservation,Residential property with shared street entrance (open shared street entrancet),"Paid parking, public parking and resident's parking permits",335,1934,,,,,,,,,, 36.00  ,Flat roof covered with asphalt roofing,
752,No,565000,3445,,Shower and toilet,No,Resale property,,C  ,3,,Gas heaters,Gas water heater (rental),,4 ,164,1 ,,No,1 bathroom and 1 separate toilet,6 rooms (4 bedrooms),2,No,No,No,,Sold under reservation,Double ground-floor apartment (apartment),"Paid parking, public parking and resident's parking permits",625,1913,"107 m² (17,68 meter deep and 6,05 meter broad)",Back garden,Located at the south,,8 ,,,,,,,
753,Yes,225000,3214,Balcony present,Bath,Yes,Resale property,"Remeha Avanta (gas-fired combination boiler, in ownership)",F  ,,,CH boiler,CH boiler,Double glazing,"March 11, 2022",70,3 ,,No,1 bathroom and 1 separate toilet,3 rooms (2 bedrooms),1,Yes,Yes,Yes,Protected townscape or village view (permit needed for alterations),Available,Upstairs apartment (apartment),"Paid parking, public parking and resident's parking permits",241,1932,,,,,,,,,,,Flat roof covered with asphalt roofing,
754,No,290000,3021,,Shower,Yes,Resale property,"Remeha Tzerra (gas-fired combination boiler from 2014, in ownership)",A  ,,Electricity,CH boiler,CH boiler,Double glazing and floor insulation,"March 8, 2022",96,Grou ,Alongside a quiet road and in residential district,No,1 bathroom and 1 separate toilet,3 rooms (2 bedrooms),1,Yes (€ 100.00 per month),Yes,Yes,Partly furnished with carpets and curtains,Available,Ground-floor apartment (apartment),"Paid parking, public parking and resident's parking permits",359,1926,"25 m² (0,05 meter deep and 0,05 meter broad)",Back garden,Located at the southeast,,7 ,,,,Attached brick storage, 100.00  ,Flat roof covered with asphalt roofing,
755,,475000,3345,,"Bath, shower and toilet",,Resale property,"Gas-fired combination boiler, in ownership",,,,CH boiler,,Double glazing and completely insulated,2 ,142,,Sheltered location and in residential district,,1 bathroom and 1 separate toilet,6 rooms (5 bedrooms),3,,,,,Sold under reservation,,Public parking,476,,"43 m² (7,6 meter deep and 5,62 meter broad)",Back garden and front garden,Located at the southeast accessible via the rear,"Single-family home, row house",,,8,B ,Detached brick storage,,Shed roof,137
756,Yes,399000,4750,,Bath,Yes,Resale property,"Remeha Tzerra (gas-fired combination boiler, in ownership)",E  ,,Electricity,CH boiler,CH boiler,,3 ,84,Grou ,"Alongside a quiet road, in residential district and unobstructed surrounding view",Yes,1 bathroom and 1 separate toilet,4 rooms (1 bedroom),1,Yes (€ 25.00 per month),Yes,Yes,,Sold under reservation,Ground-floor apartment (apartment),Public parking,289,1950,"67 m² (7,6 meter deep and 8,8 meter broad)",Back garden and front garden,Located at the southwest accessible via the rear,,,,7,,Detached brick storage, 25.00  ,Combination roof covered with roof tiles,
757,Yes,525000,5147,,,Yes,Resale property,,D  ,,,CH boiler,CH boiler,,"March 7, 2022",102,Grou ,"On the edge of a forest, alongside a quiet road, In wooded surroundings, in residential district and unobstructed surrounding view",Yes,1 separate toilet,3 rooms (2 bedrooms),1,Yes (€ 121.00 per month),Yes,Yes,With carpets and curtains,Available,Ground-floor apartment (apartment),Public parking,348,1949,"142 m² (15 meter deep and 9,5 meter broad)",Back garden,Located at the southeast,,,,2,,, 121.00  ,,
758,Yes,595000,4877,,Bath,Yes,Resale property,"Intergas (gas-fired combination boiler from 2021, in ownership)",A  ,,TV via cable,CH boiler,CH boiler,Double glazing and insulated walls,7 ,122,Grou ,"Alongside a quiet road, in center, in residential district and unobstructed surrounding view",Yes,1 bathroom and 1 separate toilet,5 rooms (3 bedrooms),2,Yes (€ 108.64 per month),Yes,Yes,Protected townscape or village view (permit needed for alterations),Sold under reservation,Ground-floor + upstairs apartment (apartment),Paid parking and resident's parking permits,465,1922,"46 m² (6,9 meter deep and 6,7 meter broad)",Back garden,Located at the southeast,,,,,,, 108.64  ,,
759,Yes,385000,3969,Balcony present,Shower,Yes,Resale property,,C  ,7,Electricity,Communal central heating,Electrical boiler,Double glazing and floor insulation,"March 8, 2022",97,6 ,"Alongside a quiet road, in residential district and unobstructed surrounding view",Yes,1 bathroom and 1 separate toilet,4 rooms (2 bedrooms),1,Yes (€ 262.92 per month),Yes,Yes,,Available,Apartment with shared street entrance (apartment),Parking on private property and public parking,309,1965,,,,,,,4,,Built-in, 262.92  ,Flat roof covered with asphalt roofing,
760,Yes,220000,3235,Balcony present,Bath,Yes,Resale property,,,,,,,,3 ,68,1 ,On the edge of a forest,No,1 bathroom and 1 separate toilet,3 rooms (2 bedrooms),1,Yes (€ 60.00 per month),Yes,Yes,,Sold under reservation,Mezzanine (apartment with open entrance to street),"Paid parking, public parking and resident's parking permits",234,1933,,,,,,,,G ,, 60.00  ,,
761,Yes,285000,3562,,Bath,Yes,Resale property,"Remeha (gas-fired combination boiler from 2013, in ownership)",C  ,4,Outdoor awning and TV via cable,CH boiler,Central facility,Double glazing,"March 11, 2022",80,1 ,"Alongside a quiet road, sheltered location and in residential district",Yes,1 bathroom,4 rooms (3 bedrooms),1,Yes (€ 193.18 per month),Yes,Yes,,Available,Apartment with shared street entrance,Paid parking and resident's parking permits,251,,"136 m² (15,5 meter deep and 8,75 meter broad)",Back garden,Located at the southwest accessible via the rear,,,,12,,Built-in, 193.18  ,Flat roof,
762,Yes,698000,4474,,Bath,Yes,Resale property,"Vaillant (gas-fired from 2008, in ownership)",D  ,,Electricity,CH boiler,Gas water heater,Mostly double glazed,6 ,156,Grou ,"Alongside a quiet road, alongside water, in residential district and unobstructed surrounding view",No,1 bathroom and 2 separate toilets,6 rooms (3 bedrooms),4,No,Yes,No,Protected townscape or village view (permit needed for alterations),Sold under reservation,Ground-floor apartment (apartment),"Paid parking, public parking and resident's parking permits",725,1905,"57 m² (8,66 meter deep and 6,56 meter broad)",Back garden,Located at the south,,37 ,,7,,Detached brick storage,,,
764,Yes,275000,3090,Balcony present,Shower,Yes,Resale property,,C  ,7,Electricity,Communal central heating,Electrical boiler (rental),Partly double glazed,2 ,89,7 ,In residential district and unobstructed surrounding view,Yes,1 bathroom and 1 separate toilet,3 rooms (2 bedrooms),12,Yes (€ 173.00 per month),Yes,Yes,Partly furnished with carpets and curtains,Available,Galleried apartment (apartment),Parking on private property,285,1968,,,,,,,4,,Built-in, 173.00  ,Flat roof covered with asphalt roofing,
765,Yes,375000,3049,,Shower,No,Resale property,"Gas-fired combination boiler, in ownership",E  ,,Passive ventilation system and flue,CH boiler,CH boiler,,2 ,123,Grou ,"Alongside busy road, sheltered location and in residential district",No,1 bathroom and 1 separate toilet,4 rooms (2 bedrooms),1,Yes,No,No,,Available,Ground-floor apartment (apartment),,460,1922,,Location,,,5 ,,,,,,,
766,,642500,4371,,Bath and toilet,,Resale property,,A+  ,,Electricity,Electric heating and district heating,Central facility,Completely insulated,"March 12, 2022",147,,"Alongside a quiet road, alongside water, in residential district and unobstructed surrounding view",,1 bathroom and 1 separate toilet,6 rooms (4 bedrooms),3,,,,,Available,,Public parking,554,2007,"65 m² (8,73 meter deep and 7,39 meter broad)","Back garden, front garden and side garden",Located at the southeast accessible via the rear,"Single-family home, corner house",,,16,,Detached wooden storage,,Gable roof covered with roof tiles,181
767,Yes,475000,3893,Balcony present,Bath,Yes,Resale property,"Intergas (gas-fired combination boiler from 2017, in ownership)",A  ,5,Passive ventilation system and TV via cable,CH boiler and fireplace,CH boiler,"Roof insulation, double glazing, energy efficient window, insulated walls and floor insulation",5 ,122,2 ,,No,1 bathroom and 2 separate toilets,6 rooms (3 bedrooms),3,Yes (€ 125.00 per month),Yes,Yes,,Under offer,Upstairs apartment (double upstairs apartment),Paid parking and resident's parking permits,422,1934,,,,,,,,,, 125.00  ,,
768,,588500,4864,Balcony present,Shower and toilet,,New property,,,,Elevator and mechanical ventilation,District heating,District heating,Completely insulated,3 ,121,,In residential district,,1 bathroom and 1 separate toilet,4 rooms (3 bedrooms),2,,,,,Available,Maisonnette (double upstairs apartment),Paid parking and public parking,339,2024,,,,,,,,A ,,,,
769,,375000,6818,,,,Resale property,"Itho Daalderop (gas-fired combination boiler from 2009, in ownership)",,,,CH boiler,CH boiler,"Roof insulation, double glazing and floor insulation","March 9, 2022",55,,"Alongside a quiet road, sheltered location and in residential district",,1 separate toilet,2 rooms (1 bedroom),2,,,,Protected townscape or village view (permit needed for alterations),Available,,Public parking and resident's parking permits,208,1900,,Location and front garden,,"Single-family home, row house (residential property facing inner courtyard)",,,,F ,,,,62
770,,499000,4798,Balcony present,Shower,,New property,,,,Elevator and mechanical ventilation,District heating,District heating,Completely insulated,3 ,104,,In residential district,,1 bathroom and 1 separate toilet,3 rooms (2 bedrooms),1,,,,,Available,Upstairs apartment (apartment),Paid parking and public parking,291,2024,,,,,,,,A ,,,,
771,No,275000,3986,,,No,Resale property,,,,Electricity,,,,7 ,69,Grou ,,No,,4 rooms (2 bedrooms),1,No,No,No,,Under offer,Ground-floor apartment (apartment),,397,1930,,,,,53 ,Built-in,,,,,,
772,Yes,325000,3779,,Bath and shower,Yes,Resale property,"Intergas HR (gas-fired combination boiler from 2010, in ownership)",A  ,,Electricity and heating,CH boiler,CH boiler,Completely insulated,3 ,86,Grou ,"Alongside a quiet road, in residential district and unobstructed surrounding view",Yes,1 bathroom and 1 separate toilet,3 rooms (2 bedrooms),1,Yes (€ 59.61 per month),Yes,Yes,Partly furnished with carpets and curtains,Under offer,Ground-floor apartment (apartment),Public parking,310,2010,,Front garden and side garden,Located at the northwest,,5 ,,,,Built-in, 59.61  ,Combination roof,
